epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,44383.7,1.89437,2.04954,0.01088,0.28361,0.24678,0.16873,0.06118,1.91311,2.77953,0.01152,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
72,44945.1,1.88204,2.01792,0.01079,0.28191,0.24708,0.16831,0.06114,1.91517,2.78734,0.01155,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953
73,45502.9,1.88162,2.00589,0.01075,0.28192,0.2476,0.1682,0.06086,1.91709,2.79551,0.01156,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
74,46063.8,1.87368,1.99195,0.01077,0.28352,0.24918,0.16843,0.06076,1.91959,2.8013,0.01159,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847
75,46624.9,1.8751,1.97761,0.01075,0.28418,0.24855,0.16823,0.06061,1.92188,2.80904,0.01162,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
76,47263.2,1.86859,1.97571,0.01073,0.28311,0.24928,0.16809,0.06048,1.925,2.81472,0.01164,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113
77,47863.9,1.8712,1.96899,0.01068,0.2838,0.24922,0.16804,0.06038,1.92878,2.81857,0.01168,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
78,48458.5,1.86988,1.96259,0.01068,0.2828,0.24838,0.16743,0.05996,1.93196,2.82354,0.01171,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311
79,49051.1,1.86445,1.96326,0.01067,0.28372,0.24703,0.16682,0.05965,1.93526,2.82885,0.01174,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
80,49652.1,1.8651,1.95343,0.01065,0.28212,0.24629,0.16669,0.05958,1.93889,2.83328,0.01177,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816
